dish_family_id,category_id,is_primary
fam-wd-q7504010,cat-seafood-dishes-67642233,true
fam-wd-q7504007,cat-seafood-dishes-67642233,true
fam-wd-q9696648,cat-curries-c13d2ace,true
fam-wd-q2901547,cat-dumplings-and-buns-9a441702,true
fam-wd-q7522199,cat-rice-dishes-e5a0eea5,true
fam-wd-q54952474,cat-wraps-and-rolls-dd6f3471,true
fam-wd-q113114616,cat-soups-58c2caa7,true
fam-wd-q7548366,cat-salads-aa3e870c,true
fam-wd-q2635144,cat-soups-58c2caa7,true
fam-wd-q107304811,cat-soups-58c2caa7,true
fam-wd-q7565043,cat-soups-58c2caa7,true
fam-wd-q703313,cat-soups-58c2caa7,true
fam-wd-q3965857,cat-pasta-dishes-18ec3e4d,true
fam-wd-q1236601,cat-pasta-dishes-18ec3e4d,true
fam-wd-q12709593,cat-pasta-dishes-18ec3e4d,true
fam-wd-q17119279,cat-pasta-dishes-18ec3e4d,true
fam-wd-q7572829,cat-pasta-dishes-18ec3e4d,true
fam-wd-q132775271,cat-burgers-09c6dfae,true
fam-wd-q16847884,cat-breakfast-dishes-7ff5de50,true
fam-wd-q12219244,cat-soups-58c2caa7,true
fam-wd-q30682135,cat-stews-ce00fa93,true
fam-wd-q3051500,cat-rice-dishes-e5a0eea5,true
fam-wd-q3075310,cat-soups-58c2caa7,true
fam-wd-q131819894,cat-pasta-dishes-18ec3e4d,true
fam-wd-q7623197,cat-confections-and-sweets-33dd665f,true
fam-wd-q61074537,cat-cookies-and-biscuits-55578132,true
fam-wd-q104844158,cat-wraps-and-rolls-dd6f3471,true
fam-wd-q7648934,cat-flatbreads-and-pizzas-f0961fe2,true
fam-wd-q7655664,cat-casseroles-and-bakes-43c0edef,true
fam-wd-q712031,cat-noodle-dishes-f57723d0,true
fam-wd-q987291,cat-breads-and-loaves-c2814f9c,true
fam-wd-q111705550,cat-flatbreads-and-pizzas-f0961fe2,true
fam-wd-q123015196,cat-stews-ce00fa93,true
fam-wd-q31173508,cat-skewers-and-grilled-dishes-08780632,true
fam-wd-q25327105,cat-pies-and-pastries-eefde59e,true
fam-wd-q111604426,cat-noodle-dishes-f57723d0,true
fam-wd-q5643322,cat-dumplings-and-buns-9a441702,true
fam-wd-q7695520,cat-noodle-dishes-f57723d0,true
fam-wd-q7808550,cat-noodle-dishes-f57723d0,true
fam-wd-q7811421,cat-pasta-dishes-18ec3e4d,true
fam-wd-q48724049,cat-sauces-and-condiments-10f97308,true
fam-wd-q1066260,cat-soups-58c2caa7,true
fam-wd-q7824333,cat-wraps-and-rolls-dd6f3471,true
fam-wd-q60738779,cat-noodle-dishes-f57723d0,true
fam-wd-q16230436,cat-rice-dishes-e5a0eea5,true
fam-wd-q978397,cat-sandwiches-116c3e15,true
fam-wd-q1243795,cat-seafood-dishes-67642233,true
fam-wd-q12522818,cat-rice-dishes-e5a0eea5,true
fam-wd-q113002647,cat-soups-58c2caa7,true
fam-wd-q845376,cat-noodle-dishes-f57723d0,true
fam-wd-q5702275,cat-breads-and-loaves-c2814f9c,true
fam-wd-q7919751,cat-sauces-and-condiments-10f97308,true
fam-wd-q11902383,cat-confections-and-sweets-33dd665f,true
fam-wd-q2548949,cat-wraps-and-rolls-dd6f3471,true
fam-wd-q1086747,cat-egg-dishes-91225177,true
fam-wd-q1226651,cat-cookies-and-biscuits-55578132,true
fam-wd-q375,cat-breakfast-dishes-7ff5de50,true
fam-wd-q209464,cat-salads-aa3e870c,true
fam-wd-q135921159,cat-sandwiches-116c3e15,true
fam-wd-q65589417,cat-salads-aa3e870c,true
fam-wd-q112339256,cat-pies-and-pastries-eefde59e,true
fam-wd-q28455447,cat-soups-58c2caa7,true
fam-wd-q7995577,cat-seafood-dishes-67642233,true
fam-wd-q104858815,cat-cakes-and-gateaux-d8e29f50,true
fam-wd-q1812421,cat-confections-and-sweets-33dd665f,true
fam-wd-q6497852,cat-fried-dishes-and-fritters-31bc2558,true
fam-wd-q135921173,cat-rice-dishes-e5a0eea5,true
fam-wd-q135927675,cat-rice-dishes-e5a0eea5,true
fam-wd-q8031737,cat-breads-and-loaves-c2814f9c,true
fam-wd-q113070599,cat-soups-58c2caa7,true
fam-wd-q17048447,cat-rice-dishes-e5a0eea5,true
fam-wd-q8053692,cat-seafood-dishes-67642233,true
fam-wd-q860170,cat-rice-dishes-e5a0eea5,true
fam-bread-9a677c44,cat-sandwiches-116c3e15,true
fam-submarine-sandwich-5ea61a55,cat-sandwiches-116c3e15,true
fam-open-faced-sandwich-3a9301e2,cat-sandwiches-116c3e15,true
fam-pocket-sandwich-b5b1a0bd,cat-sandwiches-116c3e15,true
fam-eggs-benedict-1ff8b422,cat-sandwiches-116c3e15,true
fam-hot-dog-variations-76dcdf87,cat-sandwiches-116c3e15,true
fam-sandwich-bread-85ee8a27,cat-sandwiches-116c3e15,true
fam-soup-and-sandwich-52904de2,cat-sandwiches-116c3e15,true
fam-regional-cuisines-of-medieval-europe-cb0a5e6e,cat-pasta-dishes-18ec3e4d,true
fam-italian-wine-8135bfbd,cat-pasta-dishes-18ec3e4d,true
fam-beer-in-italy-8743579c,cat-pasta-dishes-18ec3e4d,true
fam-osteria-705f7b4b,cat-pasta-dishes-18ec3e4d,true
fam-trattoria-35c8bed9,cat-pasta-dishes-18ec3e4d,true
fam-enoteca-96a49565,cat-pasta-dishes-18ec3e4d,true
fam-sagra-festival-7d09c078,cat-pasta-dishes-18ec3e4d,true
fam-italian-meal-structure-18f6c0fd,cat-pasta-dishes-18ec3e4d,true
fam-banmian-89ef2ecd,cat-noodle-dishes-f57723d0,true
fam-beef-noodle-soup-4dcd1b76,cat-noodle-dishes-f57723d0,true
fam-cart-noodle-68dca97c,cat-noodle-dishes-f57723d0,true
fam-chongqing-noodles-22010713,cat-noodle-dishes-f57723d0,true
fam-kuanfen-noodles-b76d80e5,cat-noodle-dishes-f57723d0,true
