id,slug,name,normalized_name,description,primary_category_id,primary_cuisine_id,wikidata_qid,wikipedia_title,dbpedia_uri,popularity_rank,created_at,updated_at
fam-wd-q16180623,dosirac,Dosirac,dosirac,Canonical starter dish entry for Dosirac. Seeded from Wikidata with an English Wikipedia sitelink.,,,Q16180623,Dosirac,,595,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q5299473,dots,Dots,dots,Canonical starter dish entry for Dots. Seeded from Wikidata with an English Wikipedia sitelink.,,,Q5299473,Dots (candy),,596,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q5300142,doublemint,Doublemint,doublemint,Canonical starter dish entry for Doublemint. Origin: United States. Seeded from Wikidata with an English Wikipedia sitelink.,,cui-american-60d23958,Q5300142,Doublemint,,597,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q5304700,dracula-piller,Dracula Piller,dracula piller,Canonical starter dish entry for Dracula Piller. Origin: Sweden. Seeded from Wikidata with an English Wikipedia sitelink.,,,Q5304700,Dracula Piller,,598,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q49001494,dragon-s-breath,Dragon's Breath,dragon s breath,Canonical starter dish entry for Dragon's Breath. Seeded from Wikidata with an English Wikipedia sitelink.,,,Q49001494,Dragon's Breath (dessert),,600,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q5305996,draw-soup,draw soup,draw soup,Canonical starter dish entry for draw soup. Associated cuisine: Yoruba cuisine. Origin: Nigeria. Seeded from Wikidata with an English Wikipedia sitelink.,cat-soups-58c2caa7,cui-wd-q7033037,Q5305996,Draw soup,,601,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q16874762,dre-si,Dre-si,dre si,Canonical starter dish entry for Dre-si. Associated cuisine: Tibetan cuisine. Seeded from Wikidata with an English Wikipedia sitelink.,,,Q16874762,Dre-si,,602,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q2631681,dressed-herring,dressed herring,dressed herring,Canonical starter dish entry for dressed herring. Associated cuisine: Russian cuisine. Origin: Soviet Union. Seeded from Wikidata with an English Wikipedia sitelink.,,,Q2631681,Dressed herring,,603,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q5309357,drunken-noodles,drunken noodles,drunken noodles,Canonical starter dish entry for drunken noodles. Associated cuisine: Lao cuisine. Origin: Thailand. Seeded from Wikidata with an English Wikipedia sitelink.,cat-noodle-dishes-f57723d0,cui-wd-q841984,Q5309357,Drunken noodles,,605,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q2893649,drunken-shrimp,drunken shrimp,drunken shrimp,Canonical starter dish entry for drunken shrimp. Associated cuisine: Chinese cuisine. Origin: People's Republic of China. Seeded from Wikidata with an English Wikipedia sitelink.,cat-seafood-dishes-67642233,,Q2893649,Drunken shrimp,,607,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q5310685,dubble-bubble,Dubble Bubble,dubble bubble,Canonical starter dish entry for Dubble Bubble. Seeded from Wikidata with an English Wikipedia sitelink.,,,Q5310685,Dubble Bubble,,608,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
