id,label,node_type,parent_id,cuisine_id,category_id,family_id,size_hint
cat-chilled-soups-8fa0ec30,Chilled soups,category,cat-soups-58c2caa7,,cat-chilled-soups-8fa0ec30,,11
cat-seafood-soups-169e1879,Seafood soups,category,cat-soups-58c2caa7,,cat-seafood-soups-169e1879,,11
cat-stews-ce00fa93,Stews,category,,,cat-stews-ce00fa93,,11
cat-meat-stews-77be457d,Meat stews,category,cat-stews-ce00fa93,,cat-meat-stews-77be457d,,11
cat-vegetable-stews-0ef53083,Vegetable stews,category,cat-stews-ce00fa93,,cat-vegetable-stews-0ef53083,,11
cat-bean-stews-870649b6,Bean stews,category,cat-stews-ce00fa93,,cat-bean-stews-870649b6,,11
cat-seafood-stews-ee5170eb,Seafood stews,category,cat-stews-ce00fa93,,cat-seafood-stews-ee5170eb,,11
cat-chile-stews-c3ddf724,Chile stews,category,cat-stews-ce00fa93,,cat-chile-stews-c3ddf724,,11
cat-slow-braises-c6132510,Slow braises,category,cat-stews-ce00fa93,,cat-slow-braises-c6132510,,11
cat-curries-c13d2ace,Curries,category,,,cat-curries-c13d2ace,,11
cat-coconut-curries-ce68a9d5,Coconut curries,category,cat-curries-c13d2ace,,cat-coconut-curries-ce68a9d5,,11
cat-dry-curries-4c9dc499,Dry curries,category,cat-curries-c13d2ace,,cat-dry-curries-4c9dc499,,11
cat-lentil-curries-2c94f0bb,Lentil curries,category,cat-curries-c13d2ace,,cat-lentil-curries-2c94f0bb,,11
cat-meat-curries-d7145184,Meat curries,category,cat-curries-c13d2ace,,cat-meat-curries-d7145184,,11
cat-fish-curries-3658a923,Fish curries,category,cat-curries-c13d2ace,,cat-fish-curries-3658a923,,11
cat-curry-noodle-dishes-a072c0a3,Curry noodle dishes,category,cat-curries-c13d2ace,,cat-curry-noodle-dishes-a072c0a3,,11
cat-salads-aa3e870c,Salads,category,,,cat-salads-aa3e870c,,11
cat-green-salads-2c2b68fc,Green salads,category,cat-salads-aa3e870c,,cat-green-salads-2c2b68fc,,11
cat-grain-salads-5e8d3cb9,Grain salads,category,cat-salads-aa3e870c,,cat-grain-salads-5e8d3cb9,,11
cat-noodle-salads-313293d4,Noodle salads,category,cat-salads-aa3e870c,,cat-noodle-salads-313293d4,,11
cat-potato-salads-9586e4f8,Potato salads,category,cat-salads-aa3e870c,,cat-potato-salads-9586e4f8,,11
cat-bread-salads-09b18fd5,Bread salads,category,cat-salads-aa3e870c,,cat-bread-salads-09b18fd5,,11
cat-composed-salads-b4b1dc8d,Composed salads,category,cat-salads-aa3e870c,,cat-composed-salads-b4b1dc8d,,11
cat-dips-and-spreads-3b58ecf2,Dips and spreads,category,,,cat-dips-and-spreads-3b58ecf2,,11
cat-bean-dips-978ae030,Bean dips,category,cat-dips-and-spreads-3b58ecf2,,cat-bean-dips-978ae030,,11
cat-yogurt-dips-da7a5bf9,Yogurt dips,category,cat-dips-and-spreads-3b58ecf2,,cat-yogurt-dips-da7a5bf9,,11
cat-chile-dips-08c9f714,Chile dips,category,cat-dips-and-spreads-3b58ecf2,,cat-chile-dips-08c9f714,,11
cat-nut-spreads-4f32ca4d,Nut spreads,category,cat-dips-and-spreads-3b58ecf2,,cat-nut-spreads-4f32ca4d,,11
