dish_family_id,cuisine_id,relation_kind
fam-wd-q20092696,cui-wd-q1503789,associated
fam-wd-q2555488,cui-wd-q871595,associated
fam-wd-q16262179,cui-wd-q647500,associated
fam-wd-q61360738,cui-wd-q4855470,associated
fam-wd-q1089959,cui-wd-q622512,associated
fam-wd-q11162,cui-wd-q192786,associated
fam-wd-q20113734,cui-wd-q654493,associated
fam-wd-q11142810,cui-wd-q787497,associated
fam-wd-q5120165,cui-wd-q787497,associated
fam-wd-q137270645,cui-wd-q707908,associated
fam-wd-q5123542,cui-american-60d23958,associated
fam-wd-q2975184,cui-wd-q207965,associated
fam-wd-q3678059,cui-wd-q654493,associated
fam-wd-q1093380,cui-american-60d23958,associated
fam-wd-q8077757,cui-wd-q654493,associated
fam-wd-q503494,cui-american-60d23958,associated
fam-wd-q868158,cui-wd-q622512,associated
fam-wd-q136393848,cui-wd-q1324207,associated
fam-wd-q5202996,cui-wd-q826059,associated
fam-wd-q11680825,cui-wd-q1145205,associated
fam-wd-q2891036,cui-wd-q622512,associated
fam-wd-q3686985,cui-wd-q192786,associated
fam-wd-q2082064,cui-wd-q6661,associated
fam-wd-q12849581,cui-wd-q654493,associated
fam-wd-q1133127,cui-american-60d23958,associated
fam-wd-q5171054,cui-wd-q787497,associated
fam-wd-q531184,cui-wd-q918277,associated
fam-wd-q848957,cui-wd-q787497,associated
fam-wd-q3695911,cui-wd-q192786,associated
fam-wd-q2998597,cui-wd-q6661,associated
fam-wd-q5175528,cui-american-60d23958,associated
fam-wd-q1791462,cui-russian-0a46376e,associated
fam-wd-q1138371,cui-american-60d23958,associated
fam-wd-q5180222,cui-american-60d23958,associated
fam-wd-q30742157,cui-belgian-f69a2115,associated
fam-wd-q5182787,cui-american-60d23958,associated
fam-wd-q11299458,cui-wd-q234138,associated
fam-wd-q137908289,cui-american-60d23958,associated
fam-wd-q12200,cui-wd-q6661,associated
fam-wd-q1088248,cui-wd-q6661,associated
fam-wd-q18150258,cui-wd-q192786,associated
fam-wd-q1141574,cui-wd-q192786,associated
fam-wd-q3005487,cui-wd-q6661,associated
fam-wd-q2142465,cui-wd-q6661,associated
fam-wd-q1142807,cui-wd-q622512,associated
fam-wd-q872503,cui-wd-q918277,associated
fam-wd-q3699535,cui-wd-q192786,associated
fam-wd-q2634430,cui-wd-q192087,associated
fam-wd-q2307239,cui-wd-q6661,associated
fam-wd-q13231338,cui-wd-q871595,associated
fam-wd-q19725078,cui-wd-q787497,associated
fam-wd-q2785975,cui-belgian-f69a2115,associated
fam-wd-q5208692,cui-american-60d23958,associated
fam-wd-q5208800,cui-wd-q192087,associated
fam-wd-q762285,cui-wd-q744027,associated
fam-wd-q929364,cui-wd-q1194855,associated
fam-wd-q126961970,cui-wd-q192087,associated
fam-wd-q7780958,cui-wd-q787497,associated
fam-wd-q107007191,cui-wd-q7033037,associated
fam-wd-q1137315,cui-wd-q6661,associated
fam-wd-q19851743,cui-wd-q707908,associated
fam-wd-q107357106,cui-wd-q7033037,associated
fam-wd-q85755689,cui-wd-q1520796,associated
fam-wd-q12481254,cui-wd-q787497,associated
fam-wd-q104864044,cui-american-60d23958,associated
fam-wd-q12411608,cui-wd-q918277,associated
fam-wd-q2723965,cui-wd-q192087,associated
fam-wd-q171983,cui-wd-q192087,associated
fam-wd-q62018789,cui-wd-q207965,associated
fam-wd-q136674388,cui-american-60d23958,associated
fam-wd-q11853198,cui-american-60d23958,associated
fam-wd-q5286620,cui-wd-q234138,associated
fam-wd-q141293,cui-wd-q654493,associated
fam-wd-q5296979,cui-wd-q192087,associated
fam-wd-q5300142,cui-american-60d23958,associated
fam-wd-q5305996,cui-wd-q7033037,associated
fam-wd-q5309357,cui-wd-q841984,associated
