entity_type,entity_id,alias,normalized_alias,language_code,source_id,is_preferred
ingredient,ing-mealdb-226,Onion Salt,onion salt,en,src-mealdb,true
ingredient,ing-mealdb-227,Onions,onions,en,src-mealdb,true
ingredient,ing-mealdb-228,Orange,orange,en,src-mealdb,true
ingredient,ing-mealdb-228,<http://purl.obolibrary.org/obo/NCBITaxon_2711>,http purl obolibrary org obo ncbitaxon 2711,en,src-foodon,false
ingredient,ing-mealdb-229,Orange Zest,orange zest,en,src-mealdb,true
ingredient,ing-mealdb-230,Oregano,oregano,en,src-mealdb,true
ingredient,ing-mealdb-231,Oyster Sauce,oyster sauce,en,src-mealdb,true
ingredient,ing-mealdb-232,Paprika,paprika,en,src-mealdb,true
ingredient,ing-mealdb-233,Parma Ham,parma ham,en,src-mealdb,true
ingredient,ing-mealdb-234,Parmesan,parmesan,en,src-mealdb,true
ingredient,ing-mealdb-235,Parmesan Cheese,parmesan cheese,en,src-mealdb,true
ingredient,ing-mealdb-236,Parmigiano-reggiano,parmigiano reggiano,en,src-mealdb,true
ingredient,ing-mealdb-237,Parsley,parsley,en,src-mealdb,true
ingredient,ing-mealdb-238,Peanut Butter,peanut butter,en,src-mealdb,true
ingredient,ing-mealdb-239,Peanut Oil,peanut oil,en,src-mealdb,true
ingredient,ing-mealdb-239,arachis oil,arachis oil,en,src-foodon,false
ingredient,ing-mealdb-239,groundnut oil,groundnut oil,en,src-foodon,false
ingredient,ing-mealdb-240,Peanuts,peanuts,en,src-mealdb,true
ingredient,ing-mealdb-241,Peas,peas,en,src-mealdb,true
ingredient,ing-mealdb-242,Pecorino,pecorino,en,src-mealdb,true
ingredient,ing-mealdb-243,Penne Rigate,penne rigate,en,src-mealdb,true
ingredient,ing-mealdb-244,Pepper,pepper,en,src-mealdb,true
ingredient,ing-mealdb-244,peppers,peppers,en,src-foodon,false
ingredient,ing-mealdb-244,<http://purl.obolibrary.org/obo/NCBITaxon_4071>,http purl obolibrary org obo ncbitaxon 4071,en,src-foodon,false
ingredient,ing-mealdb-245,Pine Nuts,pine nuts,en,src-mealdb,true
ingredient,ing-mealdb-246,Pitted Black Olives,pitted black olives,en,src-mealdb,true
ingredient,ing-mealdb-247,Plain Chocolate,plain chocolate,en,src-mealdb,true
ingredient,ing-mealdb-248,Plain Flour,plain flour,en,src-mealdb,true
ingredient,ing-mealdb-249,Plum Tomatoes,plum tomatoes,en,src-mealdb,true
ingredient,ing-mealdb-252,Potato Starch,potato starch,en,src-mealdb,true
ingredient,ing-mealdb-253,Potatoes,potatoes,en,src-mealdb,true
ingredient,ing-mealdb-254,Prawns,prawns,en,src-mealdb,true
ingredient,ing-mealdb-255,Puff Pastry,puff pastry,en,src-mealdb,true
ingredient,ing-mealdb-256,Raspberry Jam,raspberry jam,en,src-mealdb,true
ingredient,ing-mealdb-257,Raw King Prawns,raw king prawns,en,src-mealdb,true
ingredient,ing-mealdb-258,Red Chilli Flakes,red chilli flakes,en,src-mealdb,true
ingredient,ing-mealdb-259,Red Chilli,red chilli,en,src-mealdb,true
ingredient,ing-mealdb-261,Red Chilli Powder,red chilli powder,en,src-mealdb,true
ingredient,ing-mealdb-263,Red Onions,red onions,en,src-mealdb,true
ingredient,ing-mealdb-264,Red Pepper,red pepper,en,src-mealdb,true
ingredient,ing-mealdb-265,Red Pepper Flakes,red pepper flakes,en,src-mealdb,true
ingredient,ing-mealdb-266,Red Wine,red wine,en,src-mealdb,true
ingredient,ing-mealdb-267,Refried Beans,refried beans,en,src-mealdb,true
ingredient,ing-mealdb-268,Rice,rice,en,src-mealdb,true
ingredient,ing-mealdb-269,Rice Noodles,rice noodles,en,src-mealdb,true
ingredient,ing-mealdb-270,Rice Stick Noodles,rice stick noodles,en,src-mealdb,true
ingredient,ing-mealdb-271,Rice Vermicelli,rice vermicelli,en,src-mealdb,true
ingredient,ing-mealdb-272,Rigatoni,rigatoni,en,src-mealdb,true
ingredient,ing-mealdb-273,Rocket,rocket,en,src-mealdb,true
ingredient,ing-mealdb-274,Rolled Oats,rolled oats,en,src-mealdb,true
ingredient,ing-mealdb-274,old fashioned oats,old fashioned oats,en,src-foodon,false
